id,created_at,text
1.6042380951503667e+18,Sat Dec 17 22:12:21 +0000 2022,"RT @JohalMiles: Bitcoin 1Y+Hodl wave update.

What does this chart suggest is probable:
-The bottom is in, if not very close.
-With a suffi…"
1.6042379014786253e+18,Sat Dec 17 22:11:35 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Outlook https://t.co/G9k5zlV9kY
1.604237703255675e+18,Sat Dec 17 22:10:48 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Outlook https://t.co/heoAviB7gg
1.6042370837484462e+18,Sat Dec 17 22:08:20 +0000 2022,"RT @JohalMiles: Bitcoin 1Y+Hodl wave update.

What does this chart suggest is probable:
-The bottom is in, if not very close.
-With a suffi…"
1.6042368223511716e+18,Sat Dec 17 22:07:18 +0000 2022,🔥 btcusdt❓ Check the post https://t.co/hpnovj7QFi #bitcoin @tradingview #crypto $btc #btc
1.6042363235938058e+18,Sat Dec 17 22:05:19 +0000 2022,RT @bitcoinagile: BTC/USDT: Downside Continuation? for COINBASE:BTCUSD by marcyacoub #Bitcoin https://t.co/MwvapDC8wD https://t.co/XLaaUAJv…
1.6042362107628175e+18,Sat Dec 17 22:04:52 +0000 2022,BTC/USDT: Downside Continuation? for COINBASE:BTCUSD by marcyacoub #Bitcoin https://t.co/MwvapDC8wD https://t.co/XLaaUAJvKs
1.6042075701885256e+18,Sat Dec 17 20:11:04 +0000 2022,"0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net… https://t.co/I67T2Bpc5s"
1.6037742914214339e+18,Fri Dec 16 15:29:22 +0000 2022,"Please all be aware that Bitcoin $BTC is developing the infamous ""three blind mice"" chart construction. https://t.co/YeZHaHiOev"
1.6016166411580498e+18,Sat Dec 10 16:35:38 +0000 2022,R.I.P #Bitcoin Rainbow Chart https://t.co/yh4PxtmYJr
1.6042650219990467e+18,Sat Dec 17 23:59:21 +0000 2022,"RT @DSBatten: 0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net emission r…"
1.6042649926095503e+18,Sat Dec 17 23:59:14 +0000 2022,ETHUSD Weakness.. alike the Crypto Market for COINBASE:ETHUSD by WillSebastian #bitcoin #crypto #btc $btc… https://t.co/rpDqjhOSo7
1.6042648557664584e+18,Sat Dec 17 23:58:42 +0000 2022,"RT @CryptoTony__: $BTC.D / #Bitcoin Dominance - Update 

This chart paints a very clear picture as too why we are not going to see an #Altc…"
1.6042645043003924e+18,Sat Dec 17 23:57:18 +0000 2022,🔥 ETHUSD Weakness.. (alike the Crypto Market)❓ Check the post https://t.co/O9iCSUt6gO #bitcoin @tradingview #crypto $btc #btc
1.6042643435286938e+18,Sat Dec 17 23:56:39 +0000 2022,"RT @DSBatten: 0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net emission r…"
1.6042642296994898e+18,Sat Dec 17 23:56:12 +0000 2022,"RT @JohalMiles: Bitcoin 1Y+Hodl wave update.

What does this chart suggest is probable:
-The bottom is in, if not very close.
-With a suffi…"
1.6042638609740186e+18,Sat Dec 17 23:54:44 +0000 2022,"RT @TATrader_Alan: #Bitcoin macro chart appears a very simple chart pattern.

&lt;Breakout and Retest (Falling wedge form)&gt;

#BTC #Cryptos htt…"
1.604262262466052e+18,Sat Dec 17 23:48:23 +0000 2022,"Fishtoken's chart started to rise in December with volume at the bottom. The time to buy is now❣️

Check the Fish p… https://t.co/yhFVwm8SJp"
1.604261992214274e+18,Sat Dec 17 23:47:19 +0000 2022,🔥 BCTUSDT Shorts❓ Check the post https://t.co/vO7qBQCIoi #bitcoin @tradingview #crypto $btc #btc
1.6042606106316923e+18,Sat Dec 17 23:41:49 +0000 2022,"RT @CryptoTony__: $BTC.D / #Bitcoin Dominance - Update 

This chart paints a very clear picture as too why we are not going to see an #Altc…"
1.6042605459555246e+18,Sat Dec 17 23:41:34 +0000 2022,RT @MASTERBTCLTC: Pay attention to this chart. Litecoin transaction volume in dollars is catching up to Bitcoin and Bitcoin is in dire stra…
1.6042599008589824e+18,Sat Dec 17 23:39:00 +0000 2022,"📉 CBBI: 4

📉 #Bitcoin  price: $16,757

📈 Pi Cycle Top Indicator: 4%
📉 RUPL/NUPL Chart: 9%
〰️️ RHODL Ratio: 0%
〰️️ P… https://t.co/M24JBxTste"
1.6042597099758592e+18,Sat Dec 17 23:38:15 +0000 2022,"RT @TATrader_Alan: #Bitcoin macro chart appears a very simple chart pattern.

&lt;Breakout and Retest (Falling wedge form)&gt;

#BTC #Cryptos htt…"
